Min	Avg	Max
-6	-11,04	-19
-6	-10,38	-17
-6	-9,96	-16
-6	-10	-19
-6	-9,88	-15
-5	-9,2	-15
-5	-8,92	-15
-5	-8,46	-14
-5	-8,8	-14
-4	-7,98	-16
-4	-7,58	-15
-4	-7,3	-12
-4	-7,16	-13
-4	-7,26	-12
-4	-7,12	-13
-4	-6,76	-13
-4	-7,06	-13
-3	-7,04	-14
-3	-7,12	-13
-3	-6,88	-14
-3	-6,42	-12
-3	-6,02	-11
-3	-6,52	-13
-3	-5,98	-11
-3	-6,08	-13
-3	-5,4	-11
-3	-5,76	-15
-3	-5,18	-14
-3	-5,02	-10
-3	-5,2	-13
-3	-5,16	-11
-3	-5,34	-11
-3	-5,18	-14
-3	-5	-11
-3	-4,74	-9
-3	-4,42	-9
-3	-4,8	-9
-3	-4,56	-9
-3	-4,72	-10
-3	-4,62	-12
-3	-4,68	-10
-3	-4,46	-9
-3	-4,48	-13
-3	-4,96	-11
-3	-5,1	-12
-3	-4,86	-12
-2	-4,98	-10
-2	-5,24	-10
-2	-5,18	-12
-2	-5,34	-10
-2	-5,02	-12
-2	-5,06	-11
-2	-4,62	-13
-2	-4,86	-12
-2	-4,88	-11
-2	-4,98	-13
-2	-5,02	-12
-2	-4,5	-13
-2	-4,32	-11
-2	-4,46	-10
-2	-4,2	-11
-2	-4,72	-11
-2	-4,28	-9
-2	-3,64	-8
-2	-4,52	-9
-2	-4,22	-11
-2	-4,32	-13
-2	-4,14	-9
-2	-4,28	-9
-2	-4,06	-8
-2	-3,52	-8
-2	-4,18	-8
-2	-4,28	-9
-2	-4,22	-8
-2	-3,82	-10
-2	-3,78	-11
-2	-3,84	-11
-2	-3,9	-10
-2	-3,88	-8
-2	-3,84	-9
-2	-3,82	-10
-2	-4,12	-20
-2	-4,18	-10
-2	-3,88	-8
-2	-3,88	-8
-2	-3,8	-8
-2	-4,12	-9
-2	-4,56	-9
-2	-4,38	-9
-2	-4,54	-9
-2	-4,36	-11
-2	-4,32	-9
-2	-4,08	-8
-2	-4,48	-10
-2	-4,32	-15
-2	-4,6	-9
-2	-4,7	-11
-2	-4,4	-11
-2	-3,72	-8
-2	-4	-10
-1	-4,14	-9
-1	-4,12	-10
-1	-4,7	-14
-1	-4,2	-10
-1	-4,9	-13
-1	-4,72	-9
-1	-4,3	-16
-1	-4,08	-9
-1	-3,96	-10
-1	-3,86	-10
-1	-3,6	-12
-1	-3,68	-11
-1	-3,66	-10
-1	-3,1	-8
-1	-3,26	-10
-1	-3,2	-8
-1	-2,62	-8
-1	-2,72	-9
-1	-2,94	-9
-1	-3,26	-10
-1	-2,38	-10
-1	-2,3	-7
-1	-2,58	-9
-1	-2,74	-9
-1	-2,16	-5
-1	-2,24	-6
-1	-2,44	-9
-1	-2,9	-7
-1	-2,68	-8
-1	-2,48	-8
-1	-2,78	-9
-1	-2,9	-10
-1	-3,16	-8
-1	-3,06	-9
-1	-2,94	-8
-1	-2,94	-8
0	-2,74	-7
